x,y,nothing
33.37343, -112.02969, 
33.37346, -112.02983, 
33.37349, -112.02999, 
33.37351, -112.03014, 
33.37354, -112.03028, 
33.37356, -112.03042, 
33.37358, -112.03054, 
33.37361, -112.03068, 
33.37364, -112.03081, 
33.37367, -112.03095, 
33.37369, -112.03108, 
33.37371, -112.03121, 
33.37374, -112.03133, 
33.37376, -112.03143, 
33.37380, -112.03152, 
33.37382, -112.03164, 
33.37386, -112.03177, 
33.37389, -112.03190, 
33.37392, -112.03205, 
33.37394, -112.03219, 
33.37396, -112.03233, 
33.37398, -112.03245, 
33.37401, -112.03260, 
33.37404, -112.03272, 
33.37406, -112.03286, 
33.37409, -112.03299, 
33.37413, -112.03313, 
33.37417, -112.03326, 
33.37419, -112.03338, 
33.37422, -112.03350, 
33.37424, -112.03364, 
33.37427, -112.03378, 
33.37429, -112.03391, 
33.37432, -112.03404, 
33.37434, -112.03418, 
33.37435, -112.03432, 
33.37435, -112.03447, 
33.37436, -112.03461, 
33.37437, -112.03475, 
33.37437, -112.03490, 
33.37438, -112.03505, 
33.37437, -112.03520, 
33.37437, -112.03534, 
33.37438, -112.03548, 
33.37438, -112.03563, 
33.37438, -112.03577, 
33.37438, -112.03592, 
33.37439, -112.03606, 
33.37439, -112.03620, 
33.37439, -112.03633, 
33.37439, -112.03648, 
33.37439, -112.03662, 
33.37439, -112.03675, 
33.37439, -112.03690, 
33.37439, -112.03705, 
33.37439, -112.03721, 
33.37439, -112.03734, 
33.37439, -112.03749, 
33.37439, -112.03762, 
33.37439, -112.03776, 
33.37439, -112.03791, 
33.37439, -112.03803, 
33.37439, -112.03819, 
33.37438, -112.03834, 
33.37438, -112.03848, 
33.37438, -112.03862, 
33.37438, -112.03876, 
33.37438, -112.03889, 
33.37438, -112.03903, 
33.37438, -112.03917, 
33.37438, -112.03931, 
33.37437, -112.03944, 
33.37436, -112.03958, 
33.37434, -112.03971, 
33.37432, -112.03985, 
33.37430, -112.03997, 
33.37429, -112.04009, 
33.37429, -112.04019, 
33.37427, -112.04032, 
33.37425, -112.04041, 
33.37423, -112.04052, 
33.37421, -112.04064, 
33.37420, -112.04077, 
33.37418, -112.04090, 
33.37415, -112.04102, 
33.37413, -112.04116, 
33.37411, -112.04129, 
33.37408, -112.04143, 
33.37406, -112.04156, 
33.37403, -112.04169, 
33.37400, -112.04183, 
33.37399, -112.04197, 
33.37398, -112.04213, 
33.37395, -112.04226, 
33.37394, -112.04239, 
33.37391, -112.04252, 
33.37389, -112.04266, 
33.37387, -112.04278, 
33.37384, -112.04293, 
33.37382, -112.04307, 
33.37380, -112.04321, 
33.37377, -112.04336, 
33.37374, -112.04350, 
33.37371, -112.04364, 
33.37368, -112.04379, 
33.37365, -112.04392, 
33.37361, -112.04406, 
33.37359, -112.04419, 
33.37356, -112.04435, 
33.37354, -112.04449, 
33.37351, -112.04463, 
33.37348, -112.04479, 
33.37344, -112.04494, 
33.37342, -112.04508, 
33.37339, -112.04522, 
33.37335, -112.04536, 
33.37331, -112.04550, 
33.37328, -112.04566, 
33.37324, -112.04580, 
33.37320, -112.04596, 
33.37318, -112.04611, 
33.37316, -112.04625, 
33.37314, -112.04641, 
33.37312, -112.04656, 
33.37311, -112.04671, 
33.37309, -112.04685, 
33.37307, -112.04700, 
33.37305, -112.04715, 
33.37304, -112.04730, 
33.37302, -112.04746, 
33.37301, -112.04761, 
33.37299, -112.04776, 
33.37297, -112.04791, 
33.37294, -112.04809, 
33.37291, -112.04824, 
33.37289, -112.04840, 
33.37285, -112.04852, 
33.37284, -112.04863, 
33.37281, -112.04876, 
33.37277, -112.04886, 
33.37275, -112.04895, 
33.37273, -112.04906, 
33.37269, -112.04915, 
33.37268, -112.04933, 
33.37264, -112.04945, 
33.37262, -112.04955, 
33.37259, -112.04965, 
33.37256, -112.04976, 
33.37253, -112.04989, 
33.37251, -112.05001, 
33.37247, -112.05014, 
33.37244, -112.05028, 
33.37241, -112.05041, 
33.37237, -112.05055, 
33.37235, -112.05068, 
33.37231, -112.05080, 
33.37228, -112.05094, 
33.37225, -112.05108, 
33.37221, -112.05122, 
33.37218, -112.05138, 
33.37215, -112.05153, 
33.37210, -112.05167, 
33.37206, -112.05181, 
33.37204, -112.05195, 
33.37201, -112.05209, 
33.37197, -112.05224, 
33.37194, -112.05238, 
33.37191, -112.05252, 
33.37188, -112.05265, 
33.37185, -112.05280, 
33.37182, -112.05294, 
33.37180, -112.05308, 
33.37179, -112.05321, 
33.37178, -112.05335, 
33.37178, -112.05348, 
33.37178, -112.05362, 
33.37180, -112.05377, 
33.37181, -112.05390, 
33.37182, -112.05405, 
33.37183, -112.05419, 
33.37185, -112.05433, 
33.37188, -112.05447, 
33.37188, -112.05461, 
33.37190, -112.05474, 
33.37192, -112.05487, 
33.37192, -112.05500, 
33.37192, -112.05514, 
33.37191, -112.05529, 
33.37191, -112.05544, 
33.37191, -112.05558, 
33.37190, -112.05572, 
33.37190, -112.05586, 
33.37190, -112.05600, 
33.37190, -112.05613, 
33.37190, -112.05628, 
33.37189, -112.05643, 
33.37189, -112.05658, 
33.37188, -112.05674, 
33.37189, -112.05688, 
33.37188, -112.05702, 
33.37187, -112.05716, 
33.37187, -112.05730, 
33.37187, -112.05744, 
33.37188, -112.05756, 
33.37189, -112.05771, 
33.37190, -112.05784, 
33.37191, -112.05799, 
33.37192, -112.05812, 
33.37192, -112.05826, 
33.37194, -112.05840, 
33.37196, -112.05853, 
33.37198, -112.05866, 
33.37201, -112.05881, 
33.37203, -112.05895, 
33.37207, -112.05908, 
33.37211, -112.05923, 
33.37213, -112.05937, 
33.37216, -112.05949, 
33.37219, -112.05963, 
33.37222, -112.05978, 
33.37226, -112.05992, 
33.37230, -112.06006, 
33.37233, -112.06020, 
33.37237, -112.06033, 
33.37240, -112.06048, 
33.37244, -112.06062, 
33.37247, -112.06077, 
33.37250, -112.06091, 
33.37253, -112.06107, 
33.37256, -112.06122, 
33.37258, -112.06138, 
33.37260, -112.06151, 
33.37261, -112.06164, 
33.37262, -112.06180, 
33.37262, -112.06194, 
33.37263, -112.06209, 
33.37263, -112.06224, 
33.37264, -112.06238, 
33.37266, -112.06253, 
33.37268, -112.06268, 
33.37271, -112.06281, 
33.37275, -112.06296, 
33.37278, -112.06310, 
33.37282, -112.06324, 
33.37285, -112.06338, 
33.37288, -112.06352, 
33.37291, -112.06366, 
33.37294, -112.06381, 
